iter	MAPE	RMSE	R2	MAE
446	0.01677385248	0.2253530219	0.943719218	0.1490755542
447	0.01676884853	0.2252934873	0.943748951	0.1490276719
448	0.01676634654	0.2252531196	0.9437691071	0.1490074174
449	0.01676208604	0.2251871661	0.9438020308	0.1489741233
450	0.01675683228	0.2251271901	0.9438319622	0.1489223425
451	0.01675510285	0.2250984915	0.9438462816	0.1489086369
452	0.01675018294	0.2250227969	0.9438840412	0.1488701349
453	0.0167501317	0.2250218683	0.9438845044	0.148869649
454	0.01674786206	0.224977392	0.943906685	0.1488519934
455	0.01674781364	0.2249765208	0.9439071194	0.1488515354
456	0.01674360768	0.2249214318	0.9439345865	0.1488138434
457	0.01673920174	0.2248741222	0.9439581694	0.1487686734
458	0.01673549417	0.2248254802	0.9439824114	0.1487335275
459	0.01673268985	0.2247802191	0.9440049636	0.1487087933
460	0.01673186385	0.2247621831	0.9440139492	0.1487018199
461	0.01672642861	0.224697598	0.9440461196	0.1486527397
462	0.01672185115	0.2246370063	0.9440762924	0.1486162029
463	0.01671689802	0.2245852268	0.9441020706	0.1485681102
464	0.01671364876	0.2245363242	0.9441264111	0.1485404959
465	0.01670815572	0.2244711566	0.944158839	0.1484870933
466	0.01670525257	0.2244201243	0.9441842265	0.1484628064
467	0.01670189784	0.2243773657	0.9442054936	0.1484339997
